Date,RIFSPFF_N.WW,RIFSPBLP_N.WW,RIFSRP_F02_N.WW,trade_date
2000/10/2,6.5,9.5,,20001002
2000/10/3,6.5,9.5,,20001003
2000/10/4,6.58,9.5,,20001004
2000/10/5,6.58,9.5,,20001005
2000/10/6,6.58,9.5,,20001006
2000/10/7,6.58,9.5,,20001007
2000/10/8,6.58,9.5,,20001008
2000/10/9,6.58,9.5,,20001009
2000/10/10,6.58,9.5,,20001010
2000/10/11,6.47,9.5,,20001011
2000/10/12,6.47,9.5,,20001012
2000/10/13,6.47,9.5,,20001013
2000/10/14,6.47,9.5,,20001014
2000/10/15,6.47,9.5,,20001015
2000/10/16,6.47,9.5,,20001016
2000/10/17,6.47,9.5,,20001017
2000/10/18,6.49,9.5,,20001018
2000/10/19,6.49,9.5,,20001019
2000/10/20,6.49,9.5,,20001020
2000/10/21,6.49,9.5,,20001021
2000/10/22,6.49,9.5,,20001022
2000/10/23,6.49,9.5,,20001023
2000/10/24,6.49,9.5,,20001024
2000/10/25,6.51,9.5,,20001025
2000/10/26,6.51,9.5,,20001026
2000/10/27,6.51,9.5,,20001027
2000/10/28,6.51,9.5,,20001028
2000/10/29,6.51,9.5,,20001029
2000/10/30,6.51,9.5,,20001030
2000/10/31,6.51,9.5,,20001031
2000/11/1,6.55,9.5,,20001101
2000/11/2,6.55,9.5,,20001102
2000/11/3,6.55,9.5,,20001103
2000/11/4,6.55,9.5,,20001104
2000/11/5,6.55,9.5,,20001105
2000/11/6,6.55,9.5,,20001106
2000/11/7,6.55,9.5,,20001107
2000/11/8,6.49,9.5,,20001108
2000/11/9,6.49,9.5,,20001109
2000/11/10,6.49,9.5,,20001110
2000/11/11,6.49,9.5,,20001111
2000/11/12,6.49,9.5,,20001112
2000/11/13,6.49,9.5,,20001113
2000/11/14,6.49,9.5,,20001114
2000/11/15,6.52,9.5,,20001115
2000/11/16,6.52,9.5,,20001116
2000/11/17,6.52,9.5,,20001117
2000/11/18,6.52,9.5,,20001118
2000/11/19,6.52,9.5,,20001119
2000/11/20,6.52,9.5,,20001120
2000/11/21,6.52,9.5,,20001121
2000/11/22,6.51,9.5,,20001122
2000/11/23,6.51,9.5,,20001123
2000/11/24,6.51,9.5,,20001124
2000/11/25,6.51,9.5,,20001125
2000/11/26,6.51,9.5,,20001126
2000/11/27,6.51,9.5,,20001127
2000/11/28,6.51,9.5,,20001128
2000/11/29,6.5,9.5,,20001129
2000/11/30,6.5,9.5,,20001130
2000/12/1,6.5,9.5,,20001201
2000/12/2,6.5,9.5,,20001202
2000/12/3,6.5,9.5,,20001203
2000/12/4,6.5,9.5,,20001204
2000/12/5,6.5,9.5,,20001205
2000/12/6,6.57,9.5,,20001206
2000/12/7,6.57,9.5,,20001207
2000/12/8,6.57,9.5,,20001208
2000/12/9,6.57,9.5,,20001209
2000/12/10,6.57,9.5,,20001210
2000/12/11,6.57,9.5,,20001211
2000/12/12,6.57,9.5,,20001212
2000/12/13,6.47,9.5,,20001213
2000/12/14,6.47,9.5,,20001214
2000/12/15,6.47,9.5,,20001215
2000/12/16,6.47,9.5,,20001216
2000/12/17,6.47,9.5,,20001217
2000/12/18,6.47,9.5,,20001218
2000/12/19,6.47,9.5,,20001219
2000/12/20,6.53,9.5,,20001220
2000/12/21,6.53,9.5,,20001221
2000/12/22,6.53,9.5,,20001222
2000/12/23,6.53,9.5,,20001223
2000/12/24,6.53,9.5,,20001224
2000/12/25,6.53,9.5,,20001225
2000/12/26,6.53,9.5,,20001226
2000/12/27,6.48,9.5,,20001227
2000/12/28,6.48,9.5,,20001228
2000/12/29,6.48,9.5,,20001229
2000/12/30,6.48,9.5,,20001230
2000/12/31,6.48,9.5,,20001231
2001/1/1,6.48,9.5,,20010101
2001/1/2,6.48,9.5,,20010102
2001/1/3,5.88,9.5,,20010103
2001/1/4,5.88,9.5,,20010104
2001/1/5,5.88,9.5,,20010105
2001/1/6,5.88,9.5,,20010106
2001/1/7,5.88,9.5,,20010107
2001/1/8,5.88,9.5,,20010108
2001/1/9,5.88,9.5,,20010109
2001/1/10,5.91,9,,20010110
2001/1/11,5.91,9,,20010111
2001/1/12,5.91,9,,20010112
2001/1/13,5.91,9,,20010113
2001/1/14,5.91,9,,20010114
2001/1/15,5.91,9,,20010115
2001/1/16,5.91,9,,20010116
2001/1/17,6.02,9,,20010117
2001/1/18,6.02,9,,20010118
2001/1/19,6.02,9,,20010119
2001/1/20,6.02,9,,20010120
2001/1/21,6.02,9,,20010121
2001/1/22,6.02,9,,20010122
2001/1/23,6.02,9,,20010123
2001/1/24,5.96,9,,20010124
2001/1/25,5.96,9,,20010125
2001/1/26,5.96,9,,20010126
2001/1/27,5.96,9,,20010127
2001/1/28,5.96,9,,20010128
2001/1/29,5.96,9,,20010129
2001/1/30,5.96,9,,20010130
2001/1/31,5.94,9,,20010131
2001/2/1,5.94,9,,20010201
2001/2/2,5.94,9,,20010202
2001/2/3,5.94,9,,20010203
2001/2/4,5.94,9,,20010204
2001/2/5,5.94,9,,20010205
2001/2/6,5.94,9,,20010206
2001/2/7,5.51,8.5,,20010207
2001/2/8,5.51,8.5,,20010208
2001/2/9,5.51,8.5,,20010209
2001/2/10,5.51,8.5,,20010210
2001/2/11,5.51,8.5,,20010211
2001/2/12,5.51,8.5,,20010212
2001/2/13,5.51,8.5,,20010213
2001/2/14,5.47,8.5,,20010214
2001/2/15,5.47,8.5,,20010215
2001/2/16,5.47,8.5,,20010216
2001/2/17,5.47,8.5,,20010217
2001/2/18,5.47,8.5,,20010218
2001/2/19,5.47,8.5,,20010219
2001/2/20,5.47,8.5,,20010220
2001/2/21,5.5,8.5,,20010221
2001/2/22,5.5,8.5,,20010222
2001/2/23,5.5,8.5,,20010223
2001/2/24,5.5,8.5,,20010224
2001/2/25,5.5,8.5,,20010225
2001/2/26,5.5,8.5,,20010226
2001/2/27,5.5,8.5,,20010227
2001/2/28,5.5,8.5,,20010228
2001/3/1,5.5,8.5,,20010301
2001/3/2,5.5,8.5,,20010302
2001/3/3,5.5,8.5,,20010303
2001/3/4,5.5,8.5,,20010304
2001/3/5,5.5,8.5,,20010305
2001/3/6,5.5,8.5,,20010306
2001/3/7,5.49,8.5,,20010307
2001/3/8,5.49,8.5,,20010308
2001/3/9,5.49,8.5,,20010309
2001/3/10,5.49,8.5,,20010310
2001/3/11,5.49,8.5,,20010311
2001/3/12,5.49,8.5,,20010312
2001/3/13,5.49,8.5,,20010313
2001/3/14,5.46,8.5,,20010314
2001/3/15,5.46,8.5,,20010315
2001/3/16,5.46,8.5,,20010316
2001/3/17,5.46,8.5,,20010317
2001/3/18,5.46,8.5,,20010318
2001/3/19,5.46,8.5,,20010319
2001/3/20,5.46,8.5,,20010320
2001/3/21,5.33,8.43,,20010321
2001/3/22,5.33,8.43,,20010322
2001/3/23,5.33,8.43,,20010323
2001/3/24,5.33,8.43,,20010324
2001/3/25,5.33,8.43,,20010325
2001/3/26,5.33,8.43,,20010326
2001/3/27,5.33,8.43,,20010327
2001/3/28,5,8,,20010328
2001/3/29,5,8,,20010329
2001/3/30,5,8,,20010330
2001/3/31,5,8,,20010331
2001/4/1,5,8,,20010401
2001/4/2,5,8,,20010402
2001/4/3,5,8,,20010403
2001/4/4,5.21,8,,20010404
2001/4/5,5.21,8,,20010405
2001/4/6,5.21,8,,20010406
2001/4/7,5.21,8,,20010407
2001/4/8,5.21,8,,20010408
2001/4/9,5.21,8,,20010409
2001/4/10,5.21,8,,20010410
2001/4/11,4.96,8,,20010411
2001/4/12,4.96,8,,20010412
2001/4/13,4.96,8,,20010413
2001/4/14,4.96,8,,20010414
2001/4/15,4.96,8,,20010415
2001/4/16,4.96,8,,20010416
2001/4/17,4.96,8,,20010417
2001/4/18,4.98,8,,20010418
2001/4/19,4.98,8,,20010419
2001/4/20,4.98,8,,20010420
2001/4/21,4.98,8,,20010421
2001/4/22,4.98,8,,20010422
2001/4/23,4.98,8,,20010423
2001/4/24,4.98,8,,20010424
2001/4/25,4.42,7.5,,20010425
2001/4/26,4.42,7.5,,20010426
2001/4/27,4.42,7.5,,20010427
2001/4/28,4.42,7.5,,20010428
2001/4/29,4.42,7.5,,20010429
2001/4/30,4.42,7.5,,20010430
2001/5/1,4.42,7.5,,20010501
2001/5/2,4.53,7.5,,20010502
2001/5/3,4.53,7.5,,20010503
2001/5/4,4.53,7.5,,20010504
2001/5/5,4.53,7.5,,20010505
2001/5/6,4.53,7.5,,20010506
2001/5/7,4.53,7.5,,20010507
2001/5/8,4.53,7.5,,20010508
2001/5/9,4.43,7.5,,20010509
2001/5/10,4.43,7.5,,20010510
2001/5/11,4.43,7.5,,20010511
2001/5/12,4.43,7.5,,20010512
2001/5/13,4.43,7.5,,20010513
2001/5/14,4.43,7.5,,20010514
2001/5/15,4.43,7.5,,20010515
2001/5/16,4.37,7.43,,20010516
2001/5/17,4.37,7.43,,20010517
2001/5/18,4.37,7.43,,20010518
2001/5/19,4.37,7.43,,20010519
2001/5/20,4.37,7.43,,20010520
2001/5/21,4.37,7.43,,20010521
2001/5/22,4.37,7.43,,20010522
2001/5/23,3.98,7,,20010523
2001/5/24,3.98,7,,20010524
2001/5/25,3.98,7,,20010525
2001/5/26,3.98,7,,20010526
2001/5/27,3.98,7,,20010527
2001/5/28,3.98,7,,20010528
2001/5/29,3.98,7,,20010529
2001/5/30,3.98,7,,20010530
2001/5/31,3.98,7,,20010531
2001/6/1,3.98,7,,20010601
2001/6/2,3.98,7,,20010602
2001/6/3,3.98,7,,20010603
2001/6/4,3.98,7,,20010604
2001/6/5,3.98,7,,20010605
2001/6/6,4.08,7,,20010606
2001/6/7,4.08,7,,20010607
2001/6/8,4.08,7,,20010608
2001/6/9,4.08,7,,20010609
2001/6/10,4.08,7,,20010610
2001/6/11,4.08,7,,20010611
2001/6/12,4.08,7,,20010612
2001/6/13,4,7,,20010613
2001/6/14,4,7,,20010614
2001/6/15,4,7,,20010615
2001/6/16,4,7,,20010616
2001/6/17,4,7,,20010617
2001/6/18,4,7,,20010618
2001/6/19,4,7,,20010619
2001/6/20,3.95,7,,20010620
2001/6/21,3.95,7,,20010621
2001/6/22,3.95,7,,20010622
2001/6/23,3.95,7,,20010623
2001/6/24,3.95,7,,20010624
2001/6/25,3.95,7,,20010625
2001/6/26,3.95,7,,20010626
2001/6/27,3.91,7,,20010627
2001/6/28,3.91,7,,20010628
2001/6/29,3.91,7,,20010629
2001/6/30,3.91,7,,20010630
2001/7/1,3.91,7,,20010701
2001/7/2,3.91,7,,20010702
2001/7/3,3.91,7,,20010703
2001/7/4,3.89,6.75,,20010704
2001/7/5,3.89,6.75,,20010705
2001/7/6,3.89,6.75,,20010706
2001/7/7,3.89,6.75,,20010707
2001/7/8,3.89,6.75,,20010708
2001/7/9,3.89,6.75,,20010709
2001/7/10,3.89,6.75,,20010710
2001/7/11,3.67,6.75,,20010711
2001/7/12,3.67,6.75,,20010712
2001/7/13,3.67,6.75,,20010713
2001/7/14,3.67,6.75,,20010714
2001/7/15,3.67,6.75,,20010715
2001/7/16,3.67,6.75,,20010716
2001/7/17,3.67,6.75,,20010717
2001/7/18,3.76,6.75,,20010718
2001/7/19,3.76,6.75,,20010719
2001/7/20,3.76,6.75,,20010720
2001/7/21,3.76,6.75,,20010721
2001/7/22,3.76,6.75,,20010722
2001/7/23,3.76,6.75,,20010723
2001/7/24,3.76,6.75,,20010724
2001/7/25,3.81,6.75,,20010725
2001/7/26,3.81,6.75,,20010726
2001/7/27,3.81,6.75,,20010727
2001/7/28,3.81,6.75,,20010728
2001/7/29,3.81,6.75,,20010729
2001/7/30,3.81,6.75,,20010730
2001/7/31,3.81,6.75,,20010731
2001/8/1,3.79,6.75,,20010801
2001/8/2,3.79,6.75,,20010802
2001/8/3,3.79,6.75,,20010803
2001/8/4,3.79,6.75,,20010804
2001/8/5,3.79,6.75,,20010805
2001/8/6,3.79,6.75,,20010806
2001/8/7,3.79,6.75,,20010807
2001/8/8,3.7,6.75,,20010808
2001/8/9,3.7,6.75,,20010809
2001/8/10,3.7,6.75,,20010810
2001/8/11,3.7,6.75,,20010811
2001/8/12,3.7,6.75,,20010812
2001/8/13,3.7,6.75,,20010813
2001/8/14,3.7,6.75,,20010814
2001/8/15,3.75,6.75,,20010815
2001/8/16,3.75,6.75,,20010816
2001/8/17,3.75,6.75,,20010817
2001/8/18,3.75,6.75,,20010818
2001/8/19,3.75,6.75,,20010819
2001/8/20,3.75,6.75,,20010820
2001/8/21,3.75,6.75,,20010821
2001/8/22,3.63,6.71,,20010822
2001/8/23,3.63,6.71,,20010823
2001/8/24,3.63,6.71,,20010824
2001/8/25,3.63,6.71,,20010825
2001/8/26,3.63,6.71,,20010826
2001/8/27,3.63,6.71,,20010827
2001/8/28,3.63,6.71,,20010828
2001/8/29,3.52,6.5,,20010829
2001/8/30,3.52,6.5,,20010830
2001/8/31,3.52,6.5,,20010831
2001/9/1,3.52,6.5,,20010901
2001/9/2,3.52,6.5,,20010902
2001/9/3,3.52,6.5,,20010903
2001/9/4,3.52,6.5,,20010904
2001/9/5,3.63,6.5,,20010905
2001/9/6,3.63,6.5,,20010906
2001/9/7,3.63,6.5,,20010907
2001/9/8,3.63,6.5,,20010908
2001/9/9,3.63,6.5,,20010909
2001/9/10,3.63,6.5,,20010910
2001/9/11,3.63,6.5,,20010911
2001/9/12,3.49,6.5,,20010912
2001/9/13,3.49,6.5,,20010913
2001/9/14,3.49,6.5,,20010914
2001/9/15,3.49,6.5,,20010915
2001/9/16,3.49,6.5,,20010916
2001/9/17,3.49,6.5,,20010917
2001/9/18,3.49,6.5,,20010918
2001/9/19,2.47,6.36,,20010919
2001/9/20,2.47,6.36,,20010920
2001/9/21,2.47,6.36,,20010921
2001/9/22,2.47,6.36,,20010922
2001/9/23,2.47,6.36,,20010923
2001/9/24,2.47,6.36,,20010924
2001/9/25,2.47,6.36,,20010925
2001/9/26,2.99,6,,20010926
2001/9/27,2.99,6,,20010927
2001/9/28,2.99,6,,20010928
2001/9/29,2.99,6,,20010929
2001/9/30,2.99,6,,20010930
2001/10/1,2.99,6,,20011001
2001/10/2,2.99,6,,20011002
2001/10/3,2.71,5.93,,20011003
2001/10/4,2.71,5.93,,20011004
2001/10/5,2.71,5.93,,20011005
2001/10/6,2.71,5.93,,20011006
2001/10/7,2.71,5.93,,20011007
2001/10/8,2.71,5.93,,20011008
2001/10/9,2.71,5.93,,20011009
2001/10/10,2.44,5.5,,20011010
2001/10/11,2.44,5.5,,20011011
2001/10/12,2.44,5.5,,20011012
2001/10/13,2.44,5.5,,20011013
2001/10/14,2.44,5.5,,20011014
2001/10/15,2.44,5.5,,20011015
2001/10/16,2.44,5.5,,20011016
2001/10/17,2.44,5.5,,20011017
2001/10/18,2.44,5.5,,20011018
2001/10/19,2.44,5.5,,20011019
2001/10/20,2.44,5.5,,20011020
2001/10/21,2.44,5.5,,20011021
2001/10/22,2.44,5.5,,20011022
2001/10/23,2.44,5.5,,20011023
2001/10/24,2.49,5.5,,20011024
2001/10/25,2.49,5.5,,20011025
2001/10/26,2.49,5.5,,20011026
2001/10/27,2.49,5.5,,20011027
2001/10/28,2.49,5.5,,20011028
2001/10/29,2.49,5.5,,20011029
2001/10/30,2.49,5.5,,20011030
2001/10/31,2.55,5.5,,20011031
2001/11/1,2.55,5.5,,20011101
2001/11/2,2.55,5.5,,20011102
2001/11/3,2.55,5.5,,20011103
2001/11/4,2.55,5.5,,20011104
2001/11/5,2.55,5.5,,20011105
2001/11/6,2.55,5.5,,20011106
2001/11/7,2.36,5.43,,20011107
2001/11/8,2.36,5.43,,20011108
2001/11/9,2.36,5.43,,20011109
2001/11/10,2.36,5.43,,20011110
2001/11/11,2.36,5.43,,20011111
2001/11/12,2.36,5.43,,20011112
2001/11/13,2.36,5.43,,20011113
2001/11/14,2.03,5,,20011114
2001/11/15,2.03,5,,20011115
2001/11/16,2.03,5,,20011116
2001/11/17,2.03,5,,20011117
2001/11/18,2.03,5,,20011118
2001/11/19,2.03,5,,20011119
2001/11/20,2.03,5,,20011120
2001/11/21,2.01,5,,20011121
2001/11/22,2.01,5,,20011122
2001/11/23,2.01,5,,20011123
2001/11/24,2.01,5,,20011124
2001/11/25,2.01,5,,20011125
2001/11/26,2.01,5,,20011126
2001/11/27,2.01,5,,20011127
2001/11/28,1.95,5,,20011128
2001/11/29,1.95,5,,20011129
2001/11/30,1.95,5,,20011130
2001/12/1,1.95,5,,20011201
2001/12/2,1.95,5,,20011202
2001/12/3,1.95,5,,20011203
2001/12/4,1.95,5,,20011204
2001/12/5,2.02,5,,20011205
2001/12/6,2.02,5,,20011206
2001/12/7,2.02,5,,20011207
2001/12/8,2.02,5,,20011208
2001/12/9,2.02,5,,20011209
2001/12/10,2.02,5,,20011210
2001/12/11,2.02,5,,20011211
2001/12/12,1.88,4.96,,20011212
2001/12/13,1.88,4.96,,20011213
